time [s],425nm [mV],Channel 2-500nm [mV],Channel 3-610nm [mV]
3160,2.8939999999999997,6.096,9.141
3180,2.937,6.061,9.096
3200,2.911,6.056,8.996
3220,2.9130000000000003,5.996,8.95
3240,2.885,5.925,8.841000000000001
3260,2.928,5.872000000000001,8.786
3280,2.88,5.944,8.814
3300,2.9419999999999997,6.015,8.934
3320,2.949,6.1129999999999995,9.029
3340,2.9730000000000003,6.187,9.174
3360,2.995,6.194,9.224
3380,2.98,6.289,9.263
3400,3.016,6.33,9.339
3420,3.04,6.32,9.305
3440,3.011,6.22,9.127
3460,2.975,6.13,8.898
3480,2.987,5.968,8.764
3500,2.9539999999999997,5.946000000000001,8.612
3520,2.94,5.858,8.478
3540,2.9160000000000004,5.782,8.342
3560,2.93,5.702999999999999,8.218
3580,2.9019999999999997,5.638999999999999,8.118
3600,2.897,5.584,7.946000000000001
3620,2.8819999999999997,5.468999999999999,7.827000000000001
3640,2.8539999999999996,5.422000000000001,7.71
3660,2.8710000000000004,5.322,7.579
3680,2.863,5.287999999999999,7.422000000000001
3700,2.842,5.205,7.348
3720,2.835,5.169,7.255
3740,2.866,5.195,7.242999999999999
3760,2.89,5.229,7.334
3780,2.911,5.3260000000000005,7.412000000000001
3800,2.9539999999999997,5.46,7.646
3820,2.987,5.624,7.843999999999999
3840,3.035,5.81,8.123
3860,3.08,5.987,8.423
3880,3.145,6.23,8.817
3900,3.216,6.495,9.215
3920,3.3089999999999997,6.778,9.708
3940,3.366,7.069,10.142000000000001
3960,3.4589999999999996,7.391,10.75
3980,3.548,7.7989999999999995,11.339
4000,3.655,8.202,12.05
4020,3.7910000000000004,8.683,12.812999999999999
4040,3.917,9.17,13.652000000000001
4060,4.005,9.742,14.546
4080,4.17,10.369000000000002,15.626
4100,6.621,26.565,46.891999999999996
4120,26.436,93.584,131.576
4140,31.581,113.33200000000001,159.435
4160,39.096,140.92,197.41099999999997
4180,44.648999999999994,162.041,227.377
4200,51.36,187.187,263.448
4220,63.169,231.15599999999998,325.465
4240,76.919,282.54,397.735
4260,90.046,331.61400000000003,466.936
4280,99.387,366.416,516.701
4300,104.05799999999999,384.099,542.886
4320,102.78,379.64300000000003,538.08
4340,104.764,387.022,549.393
4360,102.365,376.31800000000004,533.4540000000001
4380,91.56200000000001,336.545,479.10699999999997
4400,86.68700000000001,317.54,452.566
4420,84.345,308.13,439.51300000000003
4440,84.898,309.975,442.414
4460,94.38799999999999,344.76800000000003,491.881
4480,119.95100000000001,438.144,621.822
4500,147.69799999999998,538.881,763.3330000000001
4520,134.518,491.07599999999996,698.0089999999999
4540,134.816,491.61199999999997,700.0139999999999
4560,161.791,589.888,839.0360000000001
4580,182.571,665.584,946.0210000000001
4600,187.833,683.408,971.427
4620,180.278,654.521,928.4019999999999
4640,179.21900000000002,648.9590000000001,919.6519999999999
4660,176.44400000000002,637.906,904.0310000000001
4680,183.66099999999997,663.345,940.5419999999999
4700,196.94799999999998,710.84,1007.438
4720,211.00799999999998,760.534,1074.944
4740,212.507,764.184,1080.596
4760,217.903,781.3739999999999,1103.826
4780,219.46400000000003,787.554,1113.944
